timestamp,car_id,model,current_speed,battery_capacity,charge,consumption,location,node,car_status,distance_covered,battery_life,distance_to_charging_point,weather,traffic,road_gradient,emergency,emergency_duration
2023-09-22 16:37:30,car12,Model N,87,45,77.64784138271605,0.11,424.46666666666664,Node 4,moving,1.4666666666666666,98.999,35.53333333333336,sunny,heavy,downhill,accident_ahead,0
2023-09-22 16:38:44,car12,Model N,71,45,77.30371278175309,0.11,425.91666666666663,Node 4,moving,2.9166666666666665,98.99799999999999,34.08333333333337,snowy,light,uphill,none,0
2023-09-22 16:39:44,car12,Model N,70,45,77.07549196771194,0.11,427.09999999999997,Node 4,moving,4.1,98.99699999999999,32.900000000000034,rainy,light,flat,none,0
2023-09-22 16:40:44,car12,Model N,71,45,76.85372692944034,0.11,428.26666666666665,Node 4,moving,5.266666666666667,98.99599999999998,31.73333333333335,snowy,light,downhill,none,0
2023-09-22 16:41:44,car12,Model N,72,45,76.62550384456792,0.11,429.45,Node 4,moving,6.45,98.99499999999998,30.55000000000001,snowy,heavy,flat,none,0
2023-09-22 16:42:45,car12,Model N,71,45,76.39073000456791,0.11,430.65,Node 4,moving,7.65,98.99399999999997,29.350000000000023,rainy,heavy,downhill,none,0
2023-09-22 16:43:45,car12,Model N,72,45,76.16250464886421,0.11,431.8333333333333,Node 4,moving,8.833333333333334,98.99299999999997,28.166666666666686,snowy,moderate,downhill,accident_ahead,0
2023-09-22 16:44:45,car12,Model N,73,45,75.92772847286422,0.11,433.0333333333333,Node 4,moving,10.033333333333333,98.99199999999996,26.966666666666697,rainy,moderate,downhill,none,0
2023-09-22 16:45:45,car12,Model N,72,45,75.68630876573664,0.11,434.24999999999994,Node 4,moving,11.25,98.99099999999996,25.750000000000057,rainy,heavy,uphill,road_closure,0
2023-09-22 16:46:45,car12,Model N,73,45,75.45153025373664,0.11,435.44999999999993,Node 4,moving,12.45,98.98999999999995,24.550000000000068,rainy,light,uphill,accident_ahead,0
2023-09-22 16:47:45,car12,Model N,76,45,75.21010814451853,0.11,436.6666666666666,Node 4,moving,13.666666666666666,98.98899999999995,23.333333333333428,rainy,light,downhill,none,0
2023-09-22 16:48:45,car12,Model N,71,45,74.94820156519343,0.11,437.9333333333332,Node 4,moving,14.933333333333334,98.98799999999994,22.066666666666777,sunny,moderate,downhill,accident_ahead,0
2023-09-22 16:49:45,car12,Model N,70,45,74.7199693969959,0.11,439.11666666666656,Node 4,moving,16.116666666666667,98.98699999999994,20.88333333333344,snowy,light,downhill,accident_ahead,0
2023-09-22 16:50:46,car12,Model N,75,45,74.49819332580248,0.11,440.28333333333325,Node 4,moving,17.283333333333335,98.98599999999993,19.716666666666754,sunny,light,flat,road_closure,0
2023-09-22 16:51:46,car12,Model N,71,45,74.24320334432099,0.11,441.53333333333325,Node 4,moving,18.533333333333335,98.98499999999993,18.466666666666754,rainy,heavy,downhill,road_closure,0
